method,scenario,j0,tau_b,tau_f,h,lambda0,Rc,case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,E_aux_to_success_J,candidate_id,numerically_accepted,config_requested,code_hash
constant,0,0.16222337673835427,1.1566283183565036,43.20161456326038,46.66768958619144,3.073030547877057,9.163962485807177e-07,c0f973617bcc6a7e,feasible,success,299.54965256603737,299.54965256603737,26.730722572437625,success,passed,1743.151953450226,80.86491879585837,56.21338680002373,5616,1.0609678334129713e-12,9.906644582285077e-16,,0.5412868089940013,0.04215651085899945,18.064233652081754,1743.1519534502263,robust_constant_f41293f41e26c656ffc2,True,c0f973617bcc6a7e,904567fd11d251fb
constant,1,0.18828330692704445,1.3432348628148456,37.31152677192934,42.17633626014134,2.879142213000254,1.1298445621363353e-06,00d3ccadb9a9f10b,feasible,success,299.1505191393396,299.1505191393396,26.730722572437625,success,passed,1743.1519534502258,80.74520012369186,63.83091160003096,6421,2.6219386799760282e-12,2.4059558782809353e-15,,0.5454436604382821,0.049250601092654916,18.077167544926226,1743.1519534502263,robust_constant_d3f25531210a3bd92ce9,True,00d3ccadb9a9f10b,904567fd11d251fb
constant,2,0.18811273182578145,1.4833968651096772,33.23810339856574,35.95227782311889,2.9127035986124095,9.074603571876463e-07,b98e164c352802ab,feasible,success,294.34872460249545,294.34872460249545,26.730722572437625,success,passed,1743.151953450226,79.30463006192225,60.494792100042105,5983,2.6676149323657935e-12,1.698314895282475e-15,,0.5449115254067575,0.05476269756479427,18.07346199183928,1743.1519534502263,robust_constant_2717368d51de8d286559,True,b98e164c352802ab,904567fd11d251fb
constant,3,0.17051119312478344,1.606809928670101,31.572092541666564,44.035316623321094,2.92773916395042,8.445888424719696e-07,87d2d1ff7174ba71,feasible,success,299.1064272273537,299.1064272273537,26.730722572437625,success,passed,1743.1519534502258,80.73193284588136,60.6853698999621,6256,2.5478140685908477e-12,1.6983118035716818e-15,,0.5400059620576882,0.05811209987842442,18.079087172164094,1743.151953450226,robust_constant_8220332811d696c6e0a9,True,87d2d1ff7174ba71,904567fd11d251fb
constant,4,0.17574630302013314,1.6191137453485214,29.668456046111782,37.19239919918308,3.1427445689139137,1.13910158136911e-06,ddedb68cf59ce013,feasible,success,293.68191474493744,293.68191474493744,26.730722572437625,success,passed,1743.151953450226,79.10460021577136,64.82661099999677,6505,8.9382391607298e-13,1.4152229949937153e-15,,0.5400044127410608,0.06113942938409966,18.054720208915285,1743.1519534502263,robust_constant_32fe348f0fdebbcb23c6,True,ddedb68cf59ce013,904567fd11d251fb
constant,5,0.18339538350487936,1.207697992452273,33.03095182455715,39.70941264044263,3.020861245458857,1.032225198865742e-06,f4eab343b192725b,feasible,success,296.1080444290633,296.1080444290633,26.730722572437625,success,passed,1743.1519534502263,79.83243976682098,65.84808149997843,6665,2.425109417234293e-12,1.4152438795450128e-15,,0.5450439947163271,0.05325436503458369,18.062502390022587,1743.1519534502263,robust_constant_46ceed13a465a94ffe7c,True,f4eab343b192725b,904567fd11d251fb
constant,6,0.16210438472404945,1.6633278552867703,28.485770194308078,36.400048053617795,3.062317277983457,8.220526223057317e-07,b34adc7df7eb2fa8,feasible,success,291.53483613443194,291.53483613443194,26.730722572437625,success,passed,1743.1519534502263,78.46046758459218,60.26782559999265,6071,2.395722946581122e-12,2.9719972296793563e-15,,0.5372540898001918,0.06252492009060091,18.067223877103913,1743.1519534502263,robust_constant_b30faeb1b7ef40cbae91,True,b34adc7df7eb2fa8,904567fd11d251fb
constant,7,0.16423547417577716,1.3300859056131893,28.328027658343856,36.00860094783469,2.9571165064872984,1.198052421985557e-06,b9c2618744038bf3,feasible,success,290.1704734115166,290.1704734115166,26.730722572437625,success,passed,1743.1519534502258,78.05114757832396,60.56220739998389,6224,2.0126076785444327e-12,2.1228822035547637e-15,,0.5386353389760127,0.059615933475491587,18.0755749653014,1743.1519534502263,robust_constant_b55735148030be1c7af7,True,b9c2618744038bf3,904567fd11d251fb
constant,8,0.1586796508450105,1.3120801809198506,28.125157890746824,33.13817044023904,3.075349799388476,1.0881686029671452e-06,62a17f0dd53f777d,feasible,success,287.35712558484533,287.35712558484533,26.730722572437625,success,passed,1743.151953450226,77.20716282492063,60.69961000001058,6009,1.5270065869968456e-12,7.076172714624661e-16,,0.5375298910515037,0.05959986716057239,18.064524572379895,1743.151953450226,robust_constant_aca78cf6e5c839b2f2b5,True,62a17f0dd53f777d,904567fd11d251fb
constant,9,0.17268445999358437,1.3350149288412718,28.745058487769192,41.02422400153496,3.113940061278741,8.505794886895365e-07,e9d966d977ba40ba,feasible,success,296.1241655332734,296.1241655332734,26.730722572437625,success,passed,1743.1519534502263,79.83725117067964,65.06747740000719,6346,3.7627375574071976e-12,2.122841895830352e-15,,0.5415229667193897,0.060640820010869526,18.056906448417635,1743.1519534502263,robust_constant_01621d2fb1ad8b69d4f2,True,e9d966d977ba40ba,904567fd11d251fb
