strategy,status,startup_time_s,E_aux_J,evaluated,failure_reasons,last_valid_min_s,last_valid_max_s,heat_off_s,charge_C_cm2,minimum_V,maximum_ice_bulk,maximum_cell_delta_T,search_startup_s,search_run,control_expression,run,fine_status,fine_startup_s,fine_energy_J,qualification_status,qualification_pass
preheat,no_feasible_candidate_found,,,112.0,"{""membrane"": 112}",31.48679242044809,85.5741564869565,,,,,,,,,,,,,,
coheat,feasible,358.0129739472796,0.0,,,,,0.0,98.4038931845123,0.4503387134233136,0.17801584434297646,7.433020916737519,360.84856594064706,q3_zero_heat_validation_276117ce96e27a7444c1,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}",q3_zero_heat_validation_a625cbde8a15213e459e,feasible,358.0129739472796,0.0,horizon,True
