model,temp_C,run,time_s,phi_max,phi_layer,phi_x_um,saturation_max,saturation_layer,saturation_x_um,phi_cCL_max,phi_MEA_mean,saturation_at_phi_peak,gas_pore_min,occupied_pore_max,T_max_C,T_mean_C,V,ice_coverage_voltage_loss_mV,freeze_rate_kg_m2_s,melt_rate_kg_m2_s,produced_kg_m2,outward_kg_m2,bound_delta_kg_m2,mi_kg_m2,ml_kg_m2,mv_kg_m2,mb_kg_m2,active_fraction,lambda_cCL,mass_residual,activation_V,ohmic_V,cl_ohmic_V,concentration_V,reversible_V,phi_layer0_max,phi_layer1_max,phi_layer2_max,phi_layer3_max,phi_layer4_max
原模型14格,-20,frozen_model_fb5ef35a0c2aef1b8d4d,0.0,0.0,阳极气体扩散层,24.999999999999996,0.0,阳极气体扩散层,24.999999999999996,0.0,0.0,0.0,0.3916,0.0,-20.0,-19.999999999999943,0.7923589399170277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019052009999999996,1.0,2.9999999999999996,2.6468160131707475e-14,0.4649652662082826,0.001412988821163901,0.0,1.274503207489441e-06,1.2587384694496817,0.0,0.0,0.0,0.0,0.0
原模型14格,-20,frozen_model_fb5ef35a0c2aef1b8d4d,0.2,2.4126623157719172e-22,阳极气体扩散层,75.0,3.015827894714896e-22,阳极气体扩散层,75.0,-3.451867629464504e-24,3.7324503136423124e-23,3.015827894714896e-22,0.3916,3.015827894714896e-22,-20.011172675739147,-20.04039009318737,0.7921347120940899,0.0,0.0,0.0,1.1195051102799863e-06,1.2238255236776778e-05,-1.1144453058221622e-05,1.1218401960695879e-23,0.0,2.570293172482096e-08,0.001894056546941778,1.0,2.975650514894478,2.6468160131707475e-14,0.4652470757200412,0.0014182859047078313,0.0,1.2746969395096244e-06,1.2588013484157785,2.4126623157719172e-22,2.688742751183206e-23,0.0,-3.451867629464504e-24,0.0
原模型14格,-20,frozen_model_fb5ef35a0c2aef1b8d4d,0.4,3.6684275500205896e-22,阳极气体扩散层,75.0,4.5855344375257365e-22,阳极气体扩散层,75.0,-9.936939231351608e-24,6.062030320833275e-23,4.5855344375257365e-22,0.3916,4.5855344375257365e-22,-20.012275892166855,-20.04185165440498,0.785165746204511,0.0,0.0,0.0,2.3318919784644904e-06,2.4146205448044637e-05,-2.1839684756290792e-05,1.822028081350932e-23,0.0,2.5371286710627967e-08,0.0018833613152437088,1.0,2.9552548668097782,2.6468160131707475e-14,0.4719721825299968,0.0016622805486267512,0.0,1.4872219477342874e-06,1.2588016965050821,3.6684275500205896e-22,4.7371040567817225e-23,0.0,-9.936939231351608e-24,0.0
原模型14格,-20,frozen_model_fb5ef35a0c2aef1b8d4d,0.6000000000000001,4.3188472543773685e-22,阳极催化层,150.85,1.1028721282883985e-21,阳极催化层,150.85,-2.458136028634127e-22,-2.046103208743333e-21,1.1028721282883985e-21,0.3916,1.1028721282883985e-21,-20.014100416373083,-20.044513528560117,0.7851505590576413,0.0,0.0,0.0,3.6376215687131475e-06,3.584677011857962e-05,-3.223415431265501e-05,-6.149849648327312e-22,0.0,2.5005762788572066e-08,0.0018729668456873446,1.0,2.9375293547425283,2.6468160131707475e-14,0.4719799228733265,0.0016716980226278715,0.0,1.4872184523618647e-06,1.2588036671720482,8.669426412969573e-23,4.3188472543773685e-22,0.0,-2.458136028634127e-22,0.0
原模型14格,-20,frozen_model_fb5ef35a0c2aef1b8d4d,0.8,9.394285973493808e-21,阳极催化层,150.85,2.3989494314335567e-20,阳极催化层,150.85,-2.5513362129179704e-22,-2.1024731218930282e-21,2.3989494314335567e-20,0.3916,2.3989494314335567e-20,-20.0169110711752,-20.048788401143923,0.792092302821931,0.0,0.0,0.0,4.8502398687434755e-06,4.736134233900889e-05,-4.253564869352881e-05,-6.319277314086562e-22,0.0,2.4546223263441377e-08,0.0018626653513064708,1.0,2.9199188395277993,2.6468160131707475e-14,0.465272372088909,0.0014417549716685526,0.0,1.2746885485907689e-06,1.258807704571057,8.50590905968349e-23,9.394285973493808e-21,0.0,-2.5513362129179704e-22,0.0
原模型14格,-20,frozen_model_fb5ef35a0c2aef1b8d4d,1.0,4.268951888890945e-21,阳极催化层,150.85,1.0901307172857367e-20,阳极催化层,150.85,-2.176454692557592e-22,-2.0933678880772368e-21,1.0901307172857367e-20,0.3916,1.0901307172857367e-20,-20.019127227167758,-20.05208002386874,0.7920742770190214,0.0,0.0,0.0,5.970056261769521e-06,5.871723363368151e-05,-5.2771428546672825e-05,-6.291910259120463e-22,0.0,2.4251174760845322e-08,0.0018524295714533268,1.0,2.9022657781213184,2.6468160131707475e-14,0.4652840193940254,0.0014509821949536092,0.0,1.2746848707992512e-06,1.2588105532928713,8.208688446821426e-23,4.268951888890945e-21,0.0,-2.176454692557592e-22,0.0
原模型14格,-20,frozen_model_fb5ef35a0c2aef1b8d4d,1.2,2.217797725038473e-20,阴极催化层,171.0499999999999,5.271684632846382e-20,阴极催化层,171.0499999999999,2.217797725038473e-20,-1.8099801161654264e-21,5.271684632846382e-20,0.3916,5.271684632846382e-20,-20.020414993948748,-20.05378754279303,0.7850947175396857,0.0,0.0,0.0,7.182789272579984e-06,6.997695693584012e-05,-6.281829386547305e-05,-5.440148636351453e-22,0.0,2.4126202212895202e-08,0.0018423827061345265,1.0,2.8862450816149576,2.6468160131707475e-14,0.47201145469973294,0.0017038127724346584,0.0,1.4872073451718695e-06,1.2588114722191985,8.302679823020452e-23,-8.548152833828798e-24,0.0,2.217797725038473e-20,0.0
原模型14格,-20,frozen_model_fb5ef35a0c2aef1b8d4d,1.4000000000000001,2.2063806670645952e-20,阴极催化层,171.0499999999999,5.2445463918816145e-20,阴极催化层,171.0499999999999,2.2063806670645952e-20,-1.2758324757083713e-21,5.2445463918816145e-20,0.3916,5.2445463918816145e-20,-20.022349907162436,-20.056455102763636,0.7850769635008885,0.0,0.0,0.0,8.488440791935872e-06,8.114475724883382e-05,-7.26802048204721e-05,-3.834693122288109e-22,0.0,2.38883635741526e-08,0.0018325207951795275,1.0,2.871559144886077,2.6468160131707475e-14,0.4720200906090244,0.0017150822079783953,0.0,1.4872046781476628e-06,1.2588136235225695,4.4807401506444917e-23,-9.757174047403409e-24,0.0,2.2063806670645952e-20,0.0
原模型14格,-20,frozen_model_fb5ef35a0c2aef1b8d4d,1.6,2.2063895637178254e-20,阴极催化层,171.0499999999999,5.244567539143868e-20,阴极催化层,171.0499999999999,2.2063895637178254e-20,-1.2785564469081373e-21,5.244567539143868e-20,0.3916,5.244567539143868e-20,-20.024388795542734,-20.059290759389853,0.7850582146927281,0.0,0.0,0.0,9.792577368283978e-06,9.221581130825324e-05,-8.24468887306079e-05,-3.8428803990849725e-22,0.0,2.3654790638693314e-08,0.0018227541112693917,1.0,2.85709106999857,2.6468160131707475e-14,0.4720298193986493,0.0017265109952798786,0.0,1.4871998033431093e-06,1.2588160322864606,4.4779808635527284e-23,-1.0183658659217895e-23,0.0,2.2063895637178254e-20,0.0
原模型14格,-20,frozen_model_fb5ef35a0c2aef1b8d4d,1.8,2.2217506237720275e-20,阴极催化层,171.0499999999999,5.2810806364916267e-20,阴极催化层,171.0499999999999,2.2217506237720275e-20,2.0614056478136303e-21,5.2810806364916267e-20,0.3916,5.2810806364916267e-20,-20.027277986170077,-20.06341266391499,0.792006412703033,0.0,0.0,0.0,1.1005527623867037e-05,0.00010317564756425726,-9.219341495151322e-05,6.19584327129456e-22,0.0,2.3295011123036543e-08,0.0018130075850484864,1.0,2.8419140962317133,2.6468160131707475e-14,0.4653225440591016,0.0014897916450945185,0.0,1.2746735493571183e-06,1.2588200230807784,1.2085790671870259e-20,1.8357140327725487e-22,0.0,2.2217506237720275e-20,0.0
