temp_C,time_s,x_um,layer,phi,saturation,liquid_bulk,gas_pore,T_C
-20,0.0,3.1249999999999996,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,9.375,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,15.625,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,21.874999999999996,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,28.125,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,34.375,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,40.62500000000001,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,46.87500000000001,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,53.12500000000001,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,59.375000000000014,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,65.62500000000003,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,71.87500000000003,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,78.12500000000003,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,84.37500000000003,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,90.62500000000003,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,96.87500000000004,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,103.12500000000004,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,109.37500000000004,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,115.62500000000004,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,121.87500000000003,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,128.125,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,134.375,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,140.625,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,146.87499999999997,阳极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,150.14166666666665,阳极催化层,0.0,0.0,0.0,0.3916,-20.0
-20,0.0,150.42499999999998,阳极催化层,0.0,0.0,0.0,0.3916,-20.0
-20,0.0,150.70833333333331,阳极催化层,0.0,0.0,0.0,0.3916,-20.0
-20,0.0,150.99166666666665,阳极催化层,0.0,0.0,0.0,0.3916,-20.0
-20,0.0,151.27499999999998,阳极催化层,0.0,0.0,0.0,0.3916,-20.0
-20,0.0,151.5583333333333,阳极催化层,0.0,0.0,0.0,0.3916,-20.0
-20,0.0,151.84166666666664,阳极催化层,0.0,0.0,0.0,0.3916,-20.0
-20,0.0,152.12499999999997,阳极催化层,0.0,0.0,0.0,0.3916,-20.0
-20,0.0,152.4083333333333,阳极催化层,0.0,0.0,0.0,0.3916,-20.0
-20,0.0,152.69166666666663,阳极催化层,0.0,0.0,0.0,0.3916,-20.0
-20,0.0,152.97499999999997,阳极催化层,0.0,0.0,0.0,0.3916,-20.0
-20,0.0,153.2583333333333,阳极催化层,0.0,0.0,0.0,0.3916,-20.0
-20,0.0,153.77499999999995,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,154.52499999999995,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,155.27499999999995,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,156.02499999999992,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,156.77499999999992,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,157.52499999999992,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,158.2749999999999,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,159.0249999999999,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,159.7749999999999,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,160.52499999999986,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,161.27499999999986,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,162.02499999999986,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,162.77499999999986,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,163.52499999999984,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,164.27499999999984,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,165.02499999999984,质子交换膜,0.0,0.0,0.0,0.0,-20.0
-20,0.0,165.68249999999983,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,166.24749999999983,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,166.81249999999983,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,167.37749999999983,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,167.94249999999985,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,168.50749999999985,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,169.07249999999985,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,169.63749999999987,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,170.20249999999987,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,170.76749999999987,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,171.33249999999987,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,171.8974999999999,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,172.4624999999999,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,173.0274999999999,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,173.5924999999999,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,174.1574999999999,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,174.7224999999999,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,175.2874999999999,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,175.85249999999994,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,176.41749999999993,阴极催化层,0.0,0.0,0.0,0.4207,-20.0
-20,0.0,179.8249999999999,阴极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,186.0749999999999,阴极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,192.3249999999999,阴极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,198.57499999999987,阴极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,204.82499999999987,阴极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,211.07499999999985,阴极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,217.32499999999985,阴极气体扩散层,0.0,0.0,0.0,0.8,-20.0
-20,0.0,223.57499999999985,阴极气体扩散层,0.0,0.0,0.0,0.8,-20.0
