model,temp_C,V_RMSE,T_RMSE,valley_time,depth_error,recovery_error,prediction_pass,run
原模型联合校准 14格,-20,0.058582999264874196,0.43833729880916616,28.2,0.09179616443449523,0.1807483085753574,False,frozen_model_fb5ef35a0c2aef1b8d4d
改进模型联合校准 14格,-20,0.026461168638256826,0.3908427598734201,13.8,0.03136107733227189,0.05300275236769336,False,vopt_shape_joint_78544adeeface1795487
改进模型复算 96格,-20,0.030008356204982344,0.389281164802561,13.8,0.026640850524351167,0.057776538164138413,False,vverify_shape_joint_grid96_f43405f9998a1709c4c0
原模型联合校准 14格,-25,0.06301394308424894,0.10768772963969875,29.8,0.07824691987882659,0.15179435283086185,False,frozen_model_fd77bb148b98edcb18c4
改进模型联合校准 14格,-25,0.02349907450343165,0.19565433357277925,13.6,0.05639117654100656,0.04367518944672777,False,vopt_shape_joint_92a48afbcf8e88ec27b8
改进模型复算 96格,-25,0.02847555901953344,0.16481568143531186,13.6,0.051130389320367176,0.05687612578985635,False,vverify_shape_joint_grid96_cbd2b5829eb5b6b29f6e
