时间/s,实验电压/V,模型电压/V,电压相对误差/%,实验温度/℃,模型温度/℃,温度相对误差/%,模型最大冰体积分数
0,0.799,0.7705,3.56,-25,-25.00,0.00,0.000000
5,0.800,0.7616,4.80,-24.96,-25.08,0.49,0.000000
10,0.537,0.5658,5.37,-24.65,-24.66,0.06,0.000000
15,0.518,0.5265,1.63,-23.38,-23.32,0.28,0.000000
20,0.592,0.5959,0.65,-22.03,-22.13,0.45,0.000000
25,0.618,0.6166,0.22,-20.85,-21.07,1.04,0.000000
30,0.621,0.5800,6.60,-19.20,-19.39,0.99,0.001350
35,0.644,0.5999,6.84,-17.59,-17.91,1.85,0.004515
