temp_C,time_s,current_A_cm2,V,reversible,activation,ohmic,cl_ohmic,concentration,active_fraction,cathode_lambda_mean,membrane_lambda_mean
-20,0.0,0.006,0.7894945201972352,1.2587384694496817,0.46446745793059485,0.004775216818644142,0.0033622279974802405,1.2745032074894405e-06,0.045703127958161026,2.999999999999999,3.0
-20,0.2,0.006,0.7884015228141099,1.2588133957245256,0.465561286510444,0.004849311659325261,0.003429017603912828,1.274740646455022e-06,0.0449178000035875,2.974142772221535,2.9916582831756604
-20,0.4,0.007,0.7801742078443242,1.2588138025555557,0.47292285172297627,0.0057152557188675426,0.004048336415215189,1.4872693877155346e-06,0.04426643940488288,2.9525054250422986,2.977196738102974
-20,0.6000000000000001,0.006999999999999999,0.7795575614943971,1.2588160676482474,0.47349132342937855,0.005765695458438107,0.004086938324461475,1.4872660336862204e-06,0.04370195458074458,2.9336161611323157,2.960247396425662
-20,0.8,0.006,0.7864886306409882,1.258820558313539,0.4673469434057201,0.004983709534898493,0.003533796686132869,1.274731932292001e-06,0.04314350194537932,2.9148104851369814,2.942255556168119
-20,1.0,0.006,0.7858692584896174,1.2588238527718283,0.4679283455580345,0.005024973996115416,0.00356372305838634,1.2747280609125814e-06,0.04258518903036833,2.8958924204013217,2.9238661717628713
-20,1.2,0.007,0.7777349076838408,1.2588251556739933,0.4751794537114746,0.0059093070239138535,0.004191049408645054,1.4872547639969096e-06,0.042077726501337426,2.8785959679396096,2.9053206911528466
-20,1.4000000000000001,0.007,0.7771927161225606,1.2588277464980993,0.47567785446162597,0.005955688662392489,0.0042236953361404475,1.4872515202141067e-06,0.04160940222894555,2.8625489354698397,2.886746269433916
-20,1.6,0.007,0.7766516320515146,1.258830537671674,0.4761750354988533,0.006002382873671957,0.00425649086673362,1.4872476341098328e-06,0.0411482702982933,2.846665214241074,2.8682526541237303
-20,1.8,0.006,0.7836634950252409,1.2588350357817133,0.46998423341173307,0.0051860326285542825,0.0036775031474202383,1.2747161850458097e-06,0.04066619720023079,2.8299666683033995,2.8499147200890484
-20,2.0,0.007,0.7755169556650017,1.2588364502791323,0.477219825836725,0.00609818153890513,0.004324186065489071,1.4872385003746025e-06,0.040196059331035754,2.8135867323334085,2.8317492251586565
-20,2.2,0.006,0.7825514625536526,1.2588405910549492,0.47101930288379523,0.005268550908378695,0.0037357773722920323,1.2747091225569732e-06,0.0397327505290665,2.7973528182870306,2.8137469092714804
-20,2.4000000000000004,0.006,0.7819695037805909,1.2588436173929938,0.4715619620954348,0.005310876811349697,0.0037658707235875004,1.2747056184332689e-06,0.039252444325597685,2.780421335248454,2.7959474100508737
-20,2.6000000000000005,0.006,0.7813944888345667,1.2588463430822154,0.472097224606992,0.005353354938389035,0.0037960480006504946,1.2747022676482423e-06,0.03878335464874338,2.763785018687912,2.778323167070802
-20,2.8000000000000003,0.006,0.7808245523650226,1.2588490108351535,0.47262714656534444,0.005396037205870019,0.0038263487084396587,1.2746989165405433e-06,0.03832434688486403,2.7474088251256883,2.7608688613627157
-20,3.0000000000000004,0.006,0.7802590507340708,1.2588516224637512,0.47315236594756693,0.005438931086546098,0.0038567784978124795,1.2746955673572463e-06,0.03787464796696682,2.731269554615506,2.7435813062784895
-20,3.2,0.006,0.7796975035475742,1.2588541798966677,0.4736733586954663,0.0054820429614048085,0.0038873435527546738,1.2746922225362354e-06,0.037433655849581346,2.715349553036179,2.7264592428407735
-20,3.4000000000000004,0.006,0.7791395186496183,1.2588566844188054,0.47419051110621974,0.00552537997408317,0.0039180512030370105,1.2746888841997646e-06,0.03700086580004778,2.6996342557880126,2.7095017669534833
-20,3.6000000000000005,0.006000000000000003,0.7785850518800654,1.2588591113685474,0.4747038438088369,0.005568940993148835,0.003948901126012818,1.2746864962682958e-06,0.03657602241241197,2.6841178624338378,2.692707743306325
-20,3.8000000000000003,0.0069999999999999975,0.7704130121040917,1.25885976237264,0.48189821591974735,0.006547047144668528,0.004642122370765759,1.4872041323477012e-06,0.03618409379876906,2.669724939909266,2.676059014340985
-20,4.0,0.006,0.7775433513145884,1.2588634306355477,0.4756635315996647,0.0056552730414068655,0.004009540905509709,1.274679887700816e-06,0.03579395988988254,2.6553211922191378,2.659566067628248
-20,4.2,0.006,0.7769889156337558,1.2588659941692089,0.4761760712694706,0.005699732590100422,0.004041039039141266,1.274675882080783e-06,0.03538408775503681,2.6401013274352336,2.6432645568902307
-20,4.4,0.006,0.7764394441279653,1.2588682268812537,0.47668314125397787,0.005744366825330731,0.004072648271549478,1.27467397975653e-06,0.034982178771649726,2.625090755770167,2.627130589634752
-20,4.6000000000000005,0.006999999999999996,0.7682438414982748,1.2588686861284653,0.48387044750422303,0.006752909937313248,0.004787331032360013,1.487188654071129e-06,0.03461207965994735,2.611192894596319,2.6111387897146194
-20,4.800000000000001,0.0060000000000000045,0.7754084533521917,1.2588721564636305,0.4776296336365898,0.0058327948067319335,0.0041347586756727206,1.2746681172136864e-06,0.03424327331397059,2.597270147813811,2.5952964857160388
-20,5.000000000000001,0.007,0.7671955210403956,1.2588727570109393,0.48481890786693727,0.0068568409210459855,0.004860360524073984,1.487182560383634e-06,0.03387987559024838,2.583477148308656,2.579619268586108
-20,5.2,0.007,0.766703818367778,1.258874370906231,0.48526078289407026,0.006908282464515346,0.004896211034130523,1.4871798674515067e-06,0.033543113828705534,2.570630522440177,2.564080851504534
-20,5.4,0.007,0.7662072840625361,1.2588761988217627,0.4857072301390203,0.006960197443761804,0.0049324350137573735,1.487176444528795e-06,0.03320691805585938,2.5577407922759163,2.5487020287789646
-20,5.6000000000000005,0.006999999999999996,0.765707792199073,1.2588779999017274,0.4861562109606025,0.007012509569124228,0.0049689752511281205,1.4871729276360649e-06,0.032872097128904515,2.5448382407527737,2.5334878845993316
-20,5.800000000000001,0.006,0.7728978299458471,1.2588815913006297,0.47992544609633214,0.00605704060679013,0.00429180546986009,1.2746516603766724e-06,0.032514893400323056,2.530998669173338,2.518452840361768
-20,6.000000000000001,0.005999999999999996,0.772338924254076,1.2588838085757232,0.4804392733379977,0.0061043363366948475,0.004325464924822447,1.2746469547663972e-06,0.032140523159146735,2.516409780771308,2.5035966152542177
-20,6.2,0.005,0.7807219960324768,1.2588874833335215,0.473036934331443,0.005127490818911264,0.0036336371920830937,1.0621506903600604e-06,0.03175043307712684,2.501116005487793,2.4889004628780875
-20,6.4,0.01,0.744928504459319,1.2588805041957722,0.503622311257145,0.010327563640171471,0.007317309988856869,2.124839136794652e-06,0.031467596560443546,2.489970854374978,2.4742802879558656
-20,6.6000000000000005,0.015000000000000022,0.7219441345152919,1.258870503295805,0.5213458493740517,0.015577331337150894,0.011027685198359423,3.1880693104609234e-06,0.03140826834267673,2.487639233644992,2.459616727775543
