time_s,experiment_V,model_V,V_relative_error_pct,experiment_T_C,model_T_C,T_relative_error_pct,max_ice_bulk,status,run
0.0,0.799,0.7741499045508138,3.110149618170996,-25.0,-25.0,0.0,0.0,joint_fit_not_independent_validation,frozen_model_fd77bb148b98edcb18c4
5.0,0.8,0.773676024117276,3.2904969853405075,-24.96,-25.068190815641856,0.4334567934369189,1.945342055571888e-20,joint_fit_not_independent_validation,frozen_model_fd77bb148b98edcb18c4
10.0,0.537,0.6218363253774186,15.798198394305135,-24.65,-24.669930777163444,0.08085507977056859,1.8668236635742383e-20,joint_fit_not_independent_validation,frozen_model_fd77bb148b98edcb18c4
15.0,0.518,0.5665854969985351,9.379439575006774,-23.38,-23.39984617538542,0.0848852668324256,0.00040493067170789754,joint_fit_not_independent_validation,frozen_model_fd77bb148b98edcb18c4
20.0,0.592,0.5751631183953145,2.844067838629297,-22.03,-22.185640692744983,0.7064942929867516,0.0025004635472855186,joint_fit_not_independent_validation,frozen_model_fd77bb148b98edcb18c4
25.0,0.618,0.5692884757623845,7.8821236630445775,-20.85,-21.023033384653246,0.8298963292721562,0.00465288302419668,joint_fit_not_independent_validation,frozen_model_fd77bb148b98edcb18c4
30.0,0.621,0.5358118980265453,13.717890816981436,-19.2,-19.27192528815104,0.37461087578666286,0.007039251460151819,joint_fit_not_independent_validation,frozen_model_fd77bb148b98edcb18c4
35.0,0.644,0.5394851214010521,16.229018415985703,-17.59,-17.712213263835142,0.6947883106034254,0.009375988918097895,joint_fit_not_independent_validation,frozen_model_fd77bb148b98edcb18c4
