time_s,experiment_V,model_V,V_relative_error_pct,experiment_T_C,model_T_C,T_relative_error_pct,max_ice_bulk,status,run
0.0,0.799,0.7923589399170277,0.8311714747149416,-20.0,-19.999999999999943,2.8421709430404007e-13,0.0,joint_fit_not_independent_validation,frozen_model_fb5ef35a0c2aef1b8d4d
5.0,0.801,0.7847394780298729,2.0300277116263636,-19.96,-20.103084315787186,0.716855289514954,1.8056809301264898e-20,joint_fit_not_independent_validation,frozen_model_fb5ef35a0c2aef1b8d4d
10.0,0.538,0.6378931040694358,18.567491462720398,-19.65,-19.770200628000083,0.6117080305347811,1.4846527672195523e-20,joint_fit_not_independent_validation,frozen_model_fb5ef35a0c2aef1b8d4d
15.0,0.521,0.581297203035709,11.573359507813619,-18.41,-18.600101905330888,1.032601332595806,1.0206895369235748e-19,joint_fit_not_independent_validation,frozen_model_fb5ef35a0c2aef1b8d4d
20.0,0.599,0.5961808883074987,0.47063634265463505,-17.08,-17.49803438049622,2.4475080825305824,1.0201308882816955e-19,joint_fit_not_independent_validation,frozen_model_fb5ef35a0c2aef1b8d4d
25.0,0.626,0.5959838992779343,4.794904268700596,-15.9,-16.459988289714943,3.521938929024795,0.0004882712775011127,joint_fit_not_independent_validation,frozen_model_fb5ef35a0c2aef1b8d4d
30.0,0.633,0.5702404546568517,9.914620117400997,-14.27,-14.882518205575991,4.292349022957193,0.0018569300987450977,joint_fit_not_independent_validation,frozen_model_fb5ef35a0c2aef1b8d4d
35.0,0.666,0.5750714377151772,13.652937280003428,-12.67,-13.436292503630002,6.048086058642475,0.0033181734495069917,joint_fit_not_independent_validation,frozen_model_fb5ef35a0c2aef1b8d4d
