辅助冷启动策略,加热功率密度分配/W·cm-2,加热持续时间/s,各片辅助加热能耗/J,总辅助加热能耗/J,总启动时间/s,最大冰体积分数,启动结果
纯预加热启动,未获得,—,—,—,—,—,未找到可行解
恒定功率协同启动,"(0, 0, 0, 0, 0)",0.00,"(0, 0, 0, 0, 0)",0.00,358.01,0.178016,成功*
