j0,tau_b,tau_f
1.454318608595647,0.0,0.0
1.4537923825966934,0.0031683948970832416,0.0
1.4537709513059365,0.003184695590618958,0.0
1.4537474380773574,0.0034374879916754253,0.0
1.4537224307514882,0.0037973105326235177,0.0
1.4536978476748175,0.004036663984171204,0.0
1.4536726167994138,0.004230156398203159,0.0
1.4536477515091426,0.004430518166268864,0.0
1.453620572745725,0.004725892916705258,0.0
1.4536050830422198,0.004784840499164981,0.0
1.4535769664843676,0.00519806351893711,0.0
1.453547660004754,0.005361771673288255,0.0
1.4535276666691743,0.005556067838104658,0.0
1.4535045954576258,0.005685520989828774,0.0
1.4534816359277634,0.005912683658001091,0.0
1.4534592518707257,0.006136520885036134,0.0
1.4534371167978104,0.006371612090087335,0.0
1.4534153355908095,0.006599644633335326,0.0
1.4543037767606868,0.006999692277294875,0.0
1.4532778016807413,0.0074293763162813775,0.0
1.4535082306662637,0.007472609861499299,0.0
1.4533781244677377,0.007514838252357474,0.0
1.4528721196860772,0.007510475693332334,0.0
1.4528480927149683,0.007902503992103979,0.0
1.4529271226493279,0.0077418455565710555,0.0
1.4533514259762608,0.008635787661622393,0.0
1.4530127785642815,0.008923479054345762,0.0
1.4532134254856999,0.009314742807949491,0.0
1.4529142227833822,0.009507046772464871,0.0
1.4533039868545927,0.00906424571596176,0.0
1.453056817754354,0.009228493759631345,0.0
1.4522037055790804,0.008695359776567102,0.0
1.45298715673808,0.012551846312192083,0.0
1.4529352176028947,0.016712760470956788,0.0
1.4528796326783797,0.021065948022188273,0.0
1.45299427525174,0.025670641107211623,0.0
1.452098667835363,0.031717136410236435,0.0
1.4532180388779163,0.038279549130256406,0.0
1.4529310524364312,0.040875698048855234,0.0
1.4520161090700867,0.04686086976519732,0.0
1.4529442238919426,0.05354521144411706,0.0
1.452752381439145,0.059488797532244085,0.0
1.452424494981841,0.06559799006069511,0.0
1.451642326789937,0.07082630298474632,0.0
1.4522806431048234,0.08080919287631143,0.0
1.4523144403005026,0.08616588032358172,0.0
1.452171592747457,0.0927587214602473,0.0
1.4518057562905067,0.1009871471573831,0.0
1.4516519730968014,0.10323381910571547,0.0
1.4519124696815786,0.11035181102911906,0.0
1.4504312902604493,0.11500979906742259,0.0
1.452343257449229,0.12154629896604283,0.0
1.4513598009924542,0.12891558412064796,0.0
1.4505822085448965,0.1333710509716942,0.0
1.450850168585068,0.14299179314960497,0.0
1.4516510371535674,0.14874629607343576,0.0
1.4476526256515854,0.15132529146768547,0.0
1.4520437261651864,0.16069560956874324,0.0
1.4498373202701014,0.1607655230074556,0.0
1.451080041641717,0.16601268962143462,0.0
1.4499361798615478,0.16879224255130038,0.0
1.4493515737342477,0.17549587072404432,0.0
1.4515419726265577,0.178734241894792,0.0
1.4493662254113342,0.1816281593583824,0.0
1.450943428438952,0.1831519328919266,0.0
1.4502034146074059,0.18420854498136427,0.0
1.4495846555272844,0.18623349567950717,0.0
1.4462531575757018,0.1867773614061245,0.0
1.450745675957895,0.18840394975872718,0.0
1.4481839752775727,0.1883853670188766,0.0
1.450297557667568,0.18582977100957504,0.0
1.449320955187261,0.1821895122008736,0.0
1.449399246673977,0.17676006146937578,0.0
1.449627831679834,0.17156612692611856,0.0
1.4476662590351927,0.16715934163732035,0.0
1.4481119264066442,0.16381743770921275,0.0
1.4464184412216716,0.15760502836433452,0.0
1.4472926807078088,0.15199877547829033,0.0
1.449015415738586,0.1506115633569986,0.0
1.4479234550163276,0.1483257732784201,0.0
1.4482620057729416,0.14130245789729656,0.0
1.444967878511013,0.13701631952803459,0.0
1.4482144607081675,0.1344252697535353,0.0
1.446624320230446,0.12973155689479654,0.0
1.4481509586862749,0.12551936850044854,0.0
1.4453422581477564,0.1241334791340402,0.0
1.4465138944020832,0.11903984722726099,0.0
1.4468242410387688,0.11706586828026389,0.0
1.4482852970580495,0.1148695789107516,0.0
1.4503876547135994,0.11428819173815441,0.0
1.4460447298371075,0.10717909939141161,0.0
1.4490565721925939,0.10697108545893268,0.0
