BP_count,thermal,C_J_m2K,L_m,k_eff,Bi,tau_min
10,effective,109637.3983,0.041633500000000045,5.892020607465042,0.14132163742690051,22.841124645833336
10,phase,109637.3983,0.041633500000000045,2.6694798973265645,0.3119221841055648,22.841124645833336
6,effective,97503.95830000001,0.033633500000000024,4.8172614959376885,0.13963742690058475,20.313324645833337
6,phase,97503.95830000001,0.033633500000000024,2.1682387627772766,0.31023797357924915,20.313324645833337
