temp_C,t_s,V_observed,V_original,V_improved,V_holdout,T_observed,T_improved
-20,0.0,0.799,0.7923589399170277,0.7894945201972352,0.7990409115031173,-19.99535477911209,-20.0
-20,0.2,0.799,0.7921347120940899,0.7884015228141099,0.7978884391781011,-19.99535477911209,-20.0495225574781
-20,0.4,0.8,0.785165746204511,0.7801742078443242,0.7896483087610465,-19.993905207799145,-20.051398898222487
-20,0.6,0.8,0.7851505590576413,0.7795575614943971,0.7890277372152251,-19.992502715071993,-20.054566737956065
-20,0.8,0.8,0.792092302821931,0.7864886306409882,0.7959737674852536,-19.99106601796501,-20.059398380945822
-20,1.0,0.8,0.7920742770190214,0.7858692584896174,0.7953676720145999,-19.98963334868654,-20.063283007144264
-20,1.2,0.8,0.7850947175396857,0.7777349076838408,0.7872349603556593,-19.988242898954383,-20.0655774671869
-20,1.4,0.8,0.7850769635008885,0.7771927161225606,0.7867061910224222,-19.986818077674656,-20.068814706100767
-20,1.6,0.8,0.7850582146927281,0.7766516320515146,0.786179792633363,-19.985473550325025,-20.072165661277268
-20,1.8,0.8,0.792006412703033,0.7836634950252409,0.7932238486277253,-19.984094614370747,-20.0768450375287
-20,2.0,0.8,0.7850195761917755,0.7755169556650017,0.7850798456488449,-19.98264301189576,-20.079116181455277
-20,2.2,0.8,0.791971805603785,0.7825514625536526,0.7921480270203443,-19.981233739111815,-20.083496829166762
-20,2.4,0.8,0.7919534975349917,0.7819695037805909,0.7915865341750413,-19.97982836914474,-20.08700570408297
-20,2.6,0.8,0.7919361109258359,0.7813944888345667,0.7910312493228917,-19.978465069634865,-20.090282388205424
-20,2.8,0.8,0.791918773449338,0.7808245523650226,0.7904800588233893,-19.977105534431615,-20.093496306600144
-20,3.0,0.8,0.7919014978548123,0.7802590507340708,0.7899326852714826,-19.975673343168808,-20.09664914691507
-20,3.2,0.8,0.7918842806112735,0.7796975035475742,0.7893887354702548,-19.974206805547624,-20.099742687709522
-20,3.4,0.8,0.7918671222557044,0.7791395186496183,0.788847846179659,-19.972820922226305,-20.102778238924543
-20,3.6,0.8,0.7918500586333157,0.7785850518800654,0.7883112399700578,-19.97143886873448,-20.105736034576807
-20,3.8,0.8,0.78484983555374,0.7704130121040917,0.7801280419564269,-19.970022418720248,-20.107276663570815
-20,4.0,0.8,0.7918173106666172,0.7775433513145884,0.787296825383952,-19.968648126966286,-20.111133456028767
-20,4.2,0.8,0.7917996039757371,0.7769889156337558,0.7867588759256486,-19.967353781243105,-20.11413243659814
-20,4.4,0.801,0.7917830048223928,0.7764394441279653,0.786224804426723,-19.966062995180636,-20.116875265932066
-20,4.6,0.801,0.7847760061435942,0.7682438414982748,0.7780134884530696,-19.964737756967992,-20.118206442085494
-20,4.8,0.801,0.7917507570738883,0.7754084533521917,0.7852187183184564,-19.963416191841873,-20.12184641445893
-20,5.0,0.801,0.7847394780298729,0.7671955210403956,0.7769881206912594,-19.962098284320717,-20.12323771228509
-20,5.2,0.801,0.7847224445018313,0.766703818367778,0.776505705079708,-19.960707765800493,-20.12538569349556
-20,5.4,0.801,0.7847045643703788,0.7662072840625361,0.7760186564322187,-19.95932112290177,-20.127667620815913
-20,5.6,0.801,0.7846864595067736,0.765707792199073,0.7755279287266602,-19.958052539033645,-20.12991426724537
-20,5.8,0.801,0.791669697342201,0.7728978299458471,0.7827647835283109,-19.956787439576374,-20.133560842307418
-20,6.0,0.802,0.7916521279115633,0.772338924254076,0.7822207307343351,-19.95548786883316,-20.13616198624092
-20,6.2,0.797,0.7998685874091604,0.7807219960324768,0.7906578384407364,-19.954115714078767,-20.13991882598839
-20,6.4,0.765,0.7682057371418274,0.744928504459319,0.7546844099545467,-19.952086185736107,-20.135300431740774
-20,6.6,0.739,0.7490758263357609,0.721944134515292,0.7314915280807548,-19.948801165481086,-20.128016938380256
-20,6.8,0.718,0.7350647967268692,0.7043380970412227,0.7136565490262611,-19.944201846122212,-20.11916735557432
-20,7.0,0.699,0.723850595702952,0.6897751408536738,0.6988495448687129,-19.937825035820026,-20.108702876348133
-20,7.2,0.682,0.7109994288404142,0.672376581570747,0.6811131226705976,-19.929496322579922,-20.093597625678456
-20,7.4,0.667,0.7016896296668954,0.6595827168159917,0.6680128115727902,-19.92003469485607,-20.077606966562513
-20,7.6,0.653,0.6988007243876982,0.6562990181055901,0.6645790671866535,-19.909472025613894,-20.066814889031434
-20,7.8,0.64,0.6908508491873862,0.6450692415733872,0.6530458578509625,-19.897330862705047,-20.049579093278055
-20,8.0,0.628,0.6859438767697396,0.6385282009645348,0.646278282918105,-19.88363509283107,-20.03315715610833
-20,8.2,0.616,0.6791131308659535,0.6287205807297547,0.6361721121235315,-19.868254150812646,-20.012623764371426
-20,8.4,0.606,0.6737827805489336,0.6213095284148376,0.6285053044193366,-19.851221578230565,-19.991686753680824
-20,8.6,0.595,0.6687327487376099,0.6142808221888777,0.6212253654174904,-19.83252215544735,-19.96949288901098
-20,8.8,0.586,0.6611934141391959,0.6027707760651265,0.6093566019346358,-19.81157153000359,-19.940464552248585
-20,9.0,0.576,0.6575669046907547,0.5982253361873535,0.6045848309226118,-19.7886399100623,-19.91562250291389
-20,9.2,0.568,0.653207212238777,0.5922511070389931,0.5983447395071136,-19.764193545311173,-19.888606642922696
-20,9.4,0.559,0.6473953343198106,0.5835264610132936,0.5892800622259504,-19.738355627919475,-19.85602746879249
-20,9.6,0.551,0.645717051702526,0.5825384815961377,0.5880945208558619,-19.711132557521893,-19.830301543597955
-20,9.8,0.544,0.6417452093506234,0.5770930870874508,0.582357550148172,-19.682289826550175,-19.799351269956276
-20,10.0,0.538,0.6378931040694358,0.5718471073390919,0.5768102527889466,-19.651711527514692,-19.76616078283371
-20,10.2,0.531,0.6348750175061758,0.5681869520569824,0.5728721354260686,-19.619464591518124,-19.733203541091967
-20,10.4,0.525,0.6297943171875634,0.5604827373662655,0.564795247764855,-19.58555566752341,-19.693219583648897
-20,10.6,0.52,0.6269477601901935,0.5572093278411011,0.5612286588791463,-19.54993045199214,-19.656238985592097
-20,10.8,0.513,0.6207899754903562,0.5473389809531701,0.550930911841961,-19.512346954953415,-19.60840171707204
-20,11.0,0.511,0.6174543947817795,0.5432247095903836,0.546480297413801,-19.473188116194308,-19.564680515827575
-20,11.2,0.507,0.6154825786634324,0.5418430692762054,0.5448254482313364,-19.432962161201402,-19.524529848013657
