T0_C,basis,charge_C_cm2,water_mg_cm2,pore_cCL_m3_m2,liquid_capacity_C_cm2
-20,A,80.0188,7.4640277871906635,4.75391e-06,5.045508437404482
-20,B,6.4239,0.5992112866243196,4.75391e-06,5.045508437404482
-25,A,80.01879999999963,7.46402778719063,4.75391e-06,5.045508437404482
-25,B,6.602211221122084,0.6158438768309102,4.75391e-06,5.045508437404482
