case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,E_aux_to_success_J,candidate_id,numerically_accepted,config_requested,code_hash,scenario,method,j0,tau_b,tau_f,h,lambda0,Rc
1dd2c547ba92bdc8,feasible,success,366.76819567000723,366.76819567000723,0.0,success,passed,0.0,101.03046144645292,78.78823730000295,7878,1.5980077379490049e-12,2.6889463866202354e-15,,0.47838965050485227,0.10530781276407834,7.683831879257923,0.0,robust_zero_constant_e17b6cad0ee651945b4d,True,1dd2c547ba92bdc8,904567fd11d251fb,0,zero_constant,,,,,,
ce1e210bd6930ecc,feasible,success,365.52488737836643,365.52488737836643,0.0,success,passed,0.0,100.65747748042966,78.31889549997868,7636,3.6819853871535703e-13,8.491608982168006e-16,,0.4802764858990874,0.11985115704464533,7.429263818193533,0.0,robust_zero_constant_4bbcf9adfddfc952de51,True,ce1e210bd6930ecc,904567fd11d251fb,1,zero_constant,,,,,,
f005f3b7e7403c88,feasible,success,359.5046583362121,359.5046583362121,0.0,success,passed,0.0,98.85140792406624,76.08283809997374,7678,5.770440829078082e-13,1.698314895282475e-15,,0.47824922934003683,0.13148385960858855,7.220506286250952,0.0,robust_zero_constant_d190a87350d4a700808f,True,f005f3b7e7403c88,904567fd11d251fb,2,zero_constant,,,,,,
8e2499aea8628c3d,feasible,success,364.08253572730064,364.08253572730064,0.0,success,passed,0.0,100.22477055562483,73.82416180003202,7515,2.1069570129046505e-12,1.9813637708336288e-15,,0.4726108999626189,0.13752753984355645,7.404084657363512,0.0,robust_zero_constant_0c1d43199b1afab0e0e3,True,8e2499aea8628c3d,904567fd11d251fb,3,zero_constant,,,,,,
123c912d812fe740,feasible,success,357.73647859320977,357.73647859320977,0.0,success,passed,0.0,98.32095189043663,71.38940569997067,7338,6.096307727396041e-13,7.076114974968577e-16,,0.4721589716113552,0.14421855090286836,7.219416589017669,0.0,robust_zero_constant_e75ccf3eee1f46dd8e29,True,123c912d812fe740,904567fd11d251fb,4,zero_constant,,,,,,
7d25ea2f2451aa00,feasible,success,361.8632581199871,361.8632581199871,0.0,success,passed,0.0,99.5589806908303,77.9868108999799,7721,5.654106371293182e-13,1.1321951036360102e-15,,0.4807410257697328,0.1312978769714074,7.360691647934232,0.0,robust_zero_constant_c4031cfe967f2c3faf86,True,7d25ea2f2451aa00,904567fd11d251fb,5,zero_constant,,,,,,
90ed487c05509cf6,feasible,success,355.1077992513285,355.1077992513285,0.0,success,passed,0.0,97.53234747720812,83.49599209998269,7944,1.582610563837931e-12,2.8304735520755776e-15,,0.4691339597376555,0.1478267758257107,7.217642516576575,0.0,robust_zero_constant_04f86eda957488a848b6,True,90ed487c05509cf6,904567fd11d251fb,6,zero_constant,,,,,,
d638f9b58e5c2ab7,feasible,success,354.22897608624027,354.22897608624027,0.0,success,passed,0.0,97.26869472467536,76.47876480000559,7555,2.070709010271533e-12,7.076274011849213e-16,,0.47295962570547545,0.14631216596803692,7.271756547836048,0.0,robust_zero_constant_ce2928bc062dd946cb6f,True,d638f9b58e5c2ab7,904567fd11d251fb,7,zero_constant,,,,,,
d9ab01791ae598de,feasible,success,351.10872915156665,351.10872915156665,0.0,success,passed,0.0,96.33262832256942,91.2520296999719,7899,1.143852649715289e-12,1.839804905802412e-15,,0.4719668349652764,0.14672294564490176,7.222632635205741,0.0,robust_zero_constant_eb17ee0a05491a804ad6,True,d9ab01791ae598de,904567fd11d251fb,8,zero_constant,,,,,,
30da2c7bb009556a,feasible,success,360.71210565266546,360.71210565266546,0.0,success,passed,0.0,99.21363962385277,89.91739909996977,7805,1.2518885064392208e-12,1.273705137498211e-15,,0.47577829574757147,0.1467771575030578,7.337080931184971,0.0,robust_zero_constant_6a065787b83859eb0c0b,True,30da2c7bb009556a,904567fd11d251fb,9,zero_constant,,,,,,
36cf13df9e067bf7,feasible,success,365.9789576210506,365.9789576210506,0.0,success,passed,0.0,100.79369804221274,86.53738059999887,7567,2.476018507265151e-12,1.981314450645035e-15,,0.47177702936455407,0.11968879031555198,7.490541972889957,0.0,robust_zero_constant_048444d26d6513c5eb4e,True,36cf13df9e067bf7,904567fd11d251fb,10,zero_constant,,,,,,
bdde0dd85044c31b,feasible,success,350.8250357671627,350.8250357671627,0.0,success,passed,0.0,96.24751740406947,89.74800640001195,7685,2.222150364525996e-12,2.4059570160000373e-15,,0.4689049862802822,0.16238585104313313,7.092515929184458,0.0,robust_zero_constant_f9aef45a97312cce7509,True,bdde0dd85044c31b,904567fd11d251fb,11,zero_constant,,,,,,
c5fc5fdb2a63cc0a,feasible,success,359.23917144795223,359.23917144795223,0.0,success,passed,0.0,98.77175848014929,87.44971340004122,7506,5.289405772524823e-13,1.5567560376676921e-15,,0.4683548748723276,0.13322184419504035,7.3265057778043,0.0,robust_zero_constant_2ae4827b6ba209518207,True,c5fc5fdb2a63cc0a,904567fd11d251fb,12,zero_constant,,,,,,
2cbbc6c72a0dc2dc,feasible,success,363.14708293893926,363.14708293893926,0.0,success,passed,0.0,99.94413277427482,90.72440890001599,7788,1.6567635029745793e-12,9.906793358945526e-16,,0.4672910623447613,0.14877590796763354,7.315307648654368,0.0,robust_zero_constant_e3f65df4c72ea433d44e,True,2cbbc6c72a0dc2dc,904567fd11d251fb,13,zero_constant,,,,,,
00d999ca226dd755,feasible,success,356.5654690821661,356.5654690821661,0.0,success,passed,0.0,97.96964462564476,90.8545490000397,7838,1.2327694905688885e-12,8.491504860746006e-16,,0.4746892432003276,0.12540458357925632,7.1873895730868185,0.0,robust_zero_constant_8bddc34ebe0ac3ccd678,True,00d999ca226dd755,904567fd11d251fb,14,zero_constant,,,,,,
88ab7cf0381832d0,feasible,success,360.7255730695093,360.7255730695093,0.0,success,passed,0.0,99.21767510697717,88.16550989996176,7761,9.04863866481508e-13,2.26436358211254e-15,,0.4696918426316428,0.1133663115374099,7.4838576315116825,0.0,robust_zero_constant_e89096373719b6f8913b,True,88ab7cf0381832d0,904567fd11d251fb,15,zero_constant,,,,,,
cb4879bc2c1955a9,feasible,success,351.940612917362,351.940612917362,0.0,success,passed,0.0,96.58219128213665,88.74114810000174,7916,7.520452986456652e-13,2.688941026162536e-15,,0.4679492131475298,0.1587060861081438,7.150422964101608,0.0,robust_zero_constant_99a6e11c812f1589ba8c,True,cb4879bc2c1955a9,904567fd11d251fb,16,zero_constant,,,,,,
