case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,candidate_id,numerically_accepted,config_requested,code_hash,evaluation,best_so_far,protocol_json,E_aux_to_success_J
af50916ddfd88962,infeasible,voltage,,67.33104060052564,,voltage,voltage,6312.28505629928,11.199312180158154,3.914820999954827,535,1.8013116821818565e-14,2.83049490830894e-16,,0.29999999899999996,9.103809603436005e-20,37.42950045445588,q3_coheat_d9dcc8762100d192683b,True,af50916ddfd88962,904567fd11d251fb,11,2499.99999999998,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.75, 0.75, 0.75, 0.75, 0.75], ""heat_off"": 160, ""load_start"": 0.0, ""times"": null, ""currents"": null}",
af50916ddfd88962,infeasible,voltage,,67.33104060052564,,voltage,voltage,6312.28505629928,11.199312180158154,3.6263282999861985,535,1.8013116821818565e-14,2.83049490830894e-16,,0.29999999899999996,9.103809603436005e-20,37.42950045445588,q3_coheat_94aa378a42bb8909d97e,True,af50916ddfd88962,904567fd11d251fb,12,2499.99999999998,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.75, 0.75, 0.75, 0.75, 0.75], ""heat_off"": 300, ""load_start"": 0.0, ""times"": null, ""currents"": null}",
af50916ddfd88962,feasible,success,176.35735774534106,176.35735774534106,40.0,success,passed,5000.0,43.90720732581077,19.59958400001051,2171,3.06535294599261e-12,1.132197963323576e-15,,0.46232795043225183,0.003169293812785783,33.71888738238454,q3_coheat_106676e0b42483e128b9,True,af50916ddfd88962,904567fd11d251fb,13,2499.99999999998,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [1.0, 1.0, 1.0, 1.0, 1.0], ""heat_off"": 40, ""load_start"": 0.0, ""times"": null, ""currents"": null}",5000.0
af50916ddfd88962,infeasible,voltage,,47.646920523517416,,voltage,voltage,5955.865065439677,5.675572588436434,3.1520723999710754,432,2.1366253986933574e-14,4.2457423624634106e-16,,0.2999999990000003,1.065060092756085e-18,38.50214651289997,q3_coheat_dab9c8bceaa0e1c72c9d,True,af50916ddfd88962,904567fd11d251fb,14,2499.99999999998,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [1.0, 1.0, 1.0, 1.0, 1.0], ""heat_off"": 80, ""load_start"": 0.0, ""times"": null, ""currents"": null}",
af50916ddfd88962,infeasible,voltage,,47.646920523517416,,voltage,voltage,5955.865065439677,5.675572588436434,3.1026091999956407,432,2.1366253986933574e-14,4.2457423624634106e-16,,0.2999999990000003,1.065060092756085e-18,38.50214651289997,q3_coheat_6799acbb1904a3d596c3,True,af50916ddfd88962,904567fd11d251fb,15,2499.99999999998,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [1.0, 1.0, 1.0, 1.0, 1.0], ""heat_off"": 160, ""load_start"": 0.0, ""times"": null, ""currents"": null}",
af50916ddfd88962,infeasible,voltage,,47.646920523517416,,voltage,voltage,5955.865065439677,5.675572588436434,3.2155119000235572,432,2.1366253986933574e-14,4.2457423624634106e-16,,0.2999999990000003,1.065060092756085e-18,38.50214651289997,q3_coheat_78391499d90bf146e671,True,af50916ddfd88962,904567fd11d251fb,16,2499.99999999998,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [1.0, 1.0, 1.0, 1.0, 1.0], ""heat_off"": 300, ""load_start"": 0.0, ""times"": null, ""currents"": null}",
af50916ddfd88962,feasible,success,277.64985665920284,277.64985665920284,40.0,success,passed,2399.999999999265,74.29496080809031,68.77458839997416,6709,1.6366478480880282e-12,1.8398216904008112e-15,,0.5467469987872774,0.04368910903267855,10.266897984126444,q3_coheat_b96959927fce60f3b968,True,af50916ddfd88962,904567fd11d251fb,17,2399.999999999265,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [1.0, 0.2, 0.0, 0.2, 1.0], ""heat_off"": 40, ""load_start"": 0.0, ""times"": null, ""currents"": null}",2399.9999999992647
af50916ddfd88962,feasible,success,185.36351469301025,185.36351469301025,80.0,success,passed,4799.999999999252,46.60905911624898,31.064640799944755,3224,1.6744169810193902e-12,1.8398216904008112e-15,,0.5600157346293688,0.008530112750430887,15.367878376864041,q3_coheat_c2be34f51dcbebb4d09c,True,af50916ddfd88962,904567fd11d251fb,18,2399.999999999265,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [1.0, 0.2, 0.0, 0.2, 1.0], ""heat_off"": 80, ""load_start"": 0.0, ""times"": null, ""currents"": null}",4799.999999999252
af50916ddfd88962,infeasible,voltage,94.83272764465846,139.85025200103055,,success,voltage,8391.01512006109,32.95508030865534,30.229609700036235,3129,1.6744169810193902e-12,8.491484724926821e-16,,0.5771611364260675,0.008530112750430887,16.573690789405703,q3_coheat_c3320ecec520b45be569,True,af50916ddfd88962,904567fd11d251fb,19,2399.999999999265,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [1.0, 0.2, 0.0, 0.2, 1.0], ""heat_off"": 160, ""load_start"": 0.0, ""times"": null, ""currents"": null}",5689.963658678757
af50916ddfd88962,infeasible,voltage,94.83272764465846,139.85025200103055,,success,voltage,8391.01512006109,32.95508030865534,30.05073190003168,3129,1.6744169810193902e-12,8.491484724926821e-16,,0.5771611364260675,0.008530112750430887,16.573690789405703,q3_coheat_0b65bda4f0356410b6f9,True,af50916ddfd88962,904567fd11d251fb,20,2399.999999999265,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [1.0, 0.2, 0.0, 0.2, 1.0], ""heat_off"": 300, ""load_start"": 0.0, ""times"": null, ""currents"": null}",5689.963658678757
