t_s,observed_K_s,model_K_s
0.0,0.006125132613737452,-0.07283092180478894
0.2,0.006360301992562006,-0.060183735500529606
0.4,0.006521939600913761,-0.051811101374752845
0.6,0.006610750294623289,-0.04602870879672428
0.8,0.006671450073797685,-0.042221694811275357
1.0,0.00673122096703015,-0.03902745548826787
1.2,0.00703993145501897,-0.023022562777441028
1.4,0.007026178753707871,-0.024082304153207883
1.6,0.006999797705077796,-0.023824993429076263
1.8,0.006987197220799605,-0.02371905684073214
2.0,0.006979988519024906,-0.023573318827194708
2.2,0.006999621081267379,-0.023340402468034035
2.4,0.007007281561922147,-0.02300480811287238
2.6,0.007019110098822813,-0.022376373774752874
2.8,0.007020493418849823,-0.021337415673025946
3.0,0.007007965052067435,-0.020865847539193183
3.2,0.006983384688100971,-0.020141430234331376
3.4,0.006941546886077741,-0.019660050274168603
3.6,0.006894603035647387,-0.018934394521017396
3.8,0.006833886935790092,-0.018521019827993417
4.0,0.006759437701054211,-0.017861405795722107
4.2,0.006709465287554037,-0.017208963960154804
4.4,0.006671197047781037,-0.016383444625741726
4.6,0.006668896020887153,-0.016121190712669913
4.8,0.006636597903699547,-0.01602888373166245
5.0,0.006619987270333802,-0.01568933714384713
5.2,0.006629375473728287,-0.015932438043341112
5.4,0.006792459275482613,-0.01460910498142861
5.6,0.007360189538366498,-0.011345722275093412
5.8,0.008550019636196607,-0.005896039671326812
6.0,0.010616101162333118,0.0009858658988621213
6.2,0.013771267020541636,0.01033569109089815
6.4,0.01797412778783344,0.021291351602502312
6.6,0.02310699458503151,0.031882084733778626
6.8,0.02907932594886521,0.04296302775616697
7.0,0.03574928321201574,0.053031801807774684
7.2,0.04294423082998574,0.06243921498218058
7.4,0.05041927269414923,0.06989389013593213
7.6,0.05802068492753939,0.07690788680512935
7.8,0.06584478890915434,0.08487241122226599
8.0,0.0738972738172361,0.09237497272388075
8.2,0.08217388370303887,0.09955679319833714
8.4,0.09070187431103639,0.10809020352024296
8.6,0.09930915690406261,0.11584880639796033
8.8,0.1122486591354347,0.12606105635368628
9.0,0.11633878297754469,0.12855224474431828
9.2,0.12472032786977459,0.13386971170044978
9.4,0.13299549870605973,0.14004970787635804
9.6,0.1411626254450547,0.14581090622404913
9.8,0.14927624744106782,0.15307933503200125
10.0,0.15744999425372763,0.16174000980144562
10.2,0.1656390174665234,0.1694700093634065
10.4,0.17385381277596879,0.17882274681399907
10.6,0.1820902781572252,0.187462629333785
10.8,0.19029333955148717,0.19513244301332125
11.0,0.19839979185951553,0.20197039828742142
11.2,0.20651466981516103,0.20974697221628272
11.4,0.21472637216166784,0.21684885393358472
11.6,0.22297375133802264,0.22414977889425416
11.8,0.23129101191867849,0.2301988280110454
12.0,0.23964557767646286,0.23704032181321916
12.2,0.24793543101585364,0.24404199524267461
12.4,0.2560238193218508,0.24972588287876193
12.6,0.26390590381534673,0.25740456528557626
12.8,0.27146003018423687,0.26312634496466974
13.0,0.2783095100268989,0.2670405501888619
13.2,0.2840252406863436,0.2682494367539923
13.4,0.28845641289723767,0.2680124725607842
13.6,0.2915828759725022,0.26563502296064806
13.8,0.293333560981669,0.2618040040192601
14.0,0.29389710883420356,0.2570575231269253
14.2,0.2933327577108406,0.25132327233980106
14.4,0.2917688443885272,0.24506771599733385
14.6,0.28960167174293383,0.23898408607928648
14.8,0.28725400253228367,0.23498748920557022
15.0,0.2850412208578069,0.23290792844916444
15.2,0.2830439342057095,0.23203386071561913
15.4,0.28122143258089055,0.23134242810412628
15.6,0.27952660759315195,0.22998584418653634
15.8,0.2779605291175115,0.2284686449056491
16.0,0.27646851220449586,0.22683406125318928
16.2,0.2750405479988561,0.22559639802095155
16.4,0.2736397606248321,0.22446617249250128
16.6,0.2715222951904798,0.2216969263873113
16.8,0.27082848289843015,0.22101571162384032
17.0,0.26942457906879774,0.2191065779384905
17.2,0.2679753810153078,0.2172783049324737
17.4,0.26651216092817837,0.2160962963665943
17.6,0.2650661200713364,0.2150525986831187
17.8,0.26363265793569196,0.21319859800600008
18.0,0.2622229750986262,0.2120692038058858
18.2,0.26083850128903124,0.21116079804054644
18.4,0.2594466652612254,0.2103254190722617
18.6,0.2580530646461692,0.20956897982340464
18.8,0.25666521286979416,0.20887592916747144
19.0,0.2552701732220537,0.20775836708529308
19.2,0.2538440881466536,0.20659682537397467
19.4,0.25236025842862486,0.2053434245621892
19.6,0.25082012429555617,0.20403753677084063
19.8,0.24928289213241284,0.20307225922319969
20.0,0.24775904010004046,0.20134473405013095
20.2,0.24623579261752315,0.20017423395052922
20.4,0.24473938641212434,0.1992608775998183
20.6,0.24328036340074918,0.19831738532743168
20.8,0.24189499946352624,0.19707174895181762
21.0,0.24058754341183902,0.1961996712285655
21.2,0.2393404856732769,0.19496226143979192
21.4,0.23813201068687775,0.1939730235352041
21.6,0.236928396572457,0.19280327123229304
21.8,0.23572448300875065,0.1915725480877402
22.0,0.23454599415735222,0.1912737789196518
22.2,0.23336540889955104,0.18985347556697002
22.4,0.2321914147042137,0.18894995593991584
22.6,0.2310448985016642,0.18827772022214348
22.8,0.2298582799706687,0.18718941135759168
23.0,0.22867468705132463,0.1860188634186776
23.2,0.2276290404567041,0.18495214848597522
23.4,0.22696518159658538,0.18653728201492967
23.6,0.22694600298254064,0.1906860784331681
23.8,0.22779602191835743,0.19684350970318307
24.0,0.22980656010515355,0.20595787583710298
24.2,0.23311689140926298,0.21780864059463984
24.4,0.2375515451772636,0.2299478029083259
24.6,0.24295018008597777,0.24145637603428438
24.8,0.24919448100978628,0.253134588336552
25.0,0.25600329321108883,0.2632304805784623
25.2,0.2631073191501571,0.2724111894402794
25.4,0.2702547635313441,0.2790753337508382
25.6,0.2773289192821699,0.2858309699440389
25.8,0.2844106855422307,0.29258703215896614
26.0,0.291582450734955,0.30033488618771226
26.2,0.2989568175419768,0.3089802613045017
26.4,0.30646718392651845,0.31807528914602057
26.6,0.3138794974703818,0.32631068246160644
26.8,0.32113272303082285,0.33209421589382804
27.0,0.3282216815529794,0.33651593737344
27.2,0.3349226153211678,0.3385497567971914
27.4,0.34090069564049286,0.3379026398495841
27.6,0.3458354784815619,0.3336546315670819
27.8,0.3495434381249782,0.32733722156787226
28.0,0.3520837844790821,0.3198071301693071
28.2,0.3535758244814972,0.3132351941070905
28.4,0.35414364657143976,0.30750972433184254
28.6,0.35372271274521033,0.3026468787398189
28.8,0.352430106967574,0.29859533091774426
29.0,0.3506523428858147,0.29586352132693444
