T0_C,basis,Q_J,dT_K,C_app
-20,A,1745.7720299999999,7.809463742532984,223.54569885406272
-20,B,140.14292249999997,7.809463742532984,17.945268346241775
-25,A,1765.9365099999925,7.886038749332528,223.9320102439848
-25,B,145.7043325082502,7.886038749332528,18.47623846897564
