branch,T0_C,run,complete,V_RMSE,T_RMSE,V_MAE,T_MAE,V_min,valley_time,valley_time_error,depth,recovery,depth_error,recovery_error,dT,prediction_pass
baseline,-20,sensitivity_fb5ef35a0c2aef1b8d4d,True,0.058582999264874196,0.43833729880916616,0.047538886348404884,0.3660891597459782,0.5691551043515228,28.2,14.6,0.22320383556550483,0.00825169142464266,0.09179616443449523,0.1807483085753574,6.986093676373798,False
baseline,-25,sensitivity_fd77bb148b98edcb18c4,True,0.06301394308424894,0.10768772963969875,0.054326823470162953,0.09210476490482047,0.5353968244296403,29.8,16.200000000000003,0.23875308012117347,0.007205647169138185,0.07824691987882659,0.15179435283086185,7.743818572305344,False
tau_b_0.1x,-20,sensitivity_ae3180d468062c0d5f4f,True,0.05583057102322862,0.52448687449424,0.046075913790482974,0.44764552118613204,0.5658066487483824,28.2,14.6,0.22655229116864528,0.016110736120713454,0.08844770883135478,0.1728892638792866,6.788342119063657,False
tau_b_0.1x,-25,sensitivity_215237fd69fbedf61c1a,True,0.05459470221222027,0.1926527401033254,0.047567034070361135,0.1699667991884894,0.5506062528822082,28.0,14.4,0.22354365166860557,0.011472863598219973,0.09345634833139449,0.14752713640178006,7.551357569248069,False
tau_b_10x,-20,sensitivity_3f4df866ae883444831a,True,0.06713055806964162,0.3654838022432292,0.05504460660215806,0.2865805038825552,0.5525312753930941,28.8,15.200000000000001,0.23982766452393356,0.009504164023834694,0.0751723354760665,0.17949583597616536,7.10909990367162,False
tau_b_10x,-25,sensitivity_2cb7583ea44ac3a5b785,True,0.07174760298189418,0.054477274792305665,0.06147223399019358,0.04712599844368365,0.5179559918582357,29.8,16.200000000000003,0.2561939126925781,0.008861121686703721,0.060806087307421985,0.1501388783132963,7.933022220926034,False
tau_f_0.1x,-20,sensitivity_e5958fb3051aa75b282a,True,0.060680630566862175,0.42183602540876336,0.04909641823681178,0.3557025958363475,0.5657355274531806,31.4,17.799999999999997,0.2266234124638471,0.0021542985944286164,0.08837658753615296,0.18684570140557144,7.060174819635961,False
tau_f_0.1x,-25,sensitivity_245669da2821c64c7c9d,True,0.07232305999945027,0.1237128921040626,0.06154574152696345,0.1016127440378877,0.5157406707505278,33.7999999999999,20.199999999999896,0.258409233800286,0.0018244077779067114,0.05859076619971404,0.15717559222209332,8.18976212506783,False
tau_f_10x,-20,sensitivity_3b8d4475fe2d7dcfbe53,True,0.05835591217039947,0.441369479845341,0.04736446671819124,0.3679184963053371,0.5694513755067306,28.2,14.6,0.22290756441029702,0.008991325728023969,0.09209243558970304,0.1800086742719761,6.968573525982322,False
tau_f_10x,-25,sensitivity_5d79e9bce502025206ca,True,0.0620242549604428,0.1256330570247497,0.05352891545372996,0.10843768999235377,0.537319386279493,29.8,16.200000000000003,0.23683051827132073,0.008115784927618774,0.08016948172867933,0.15088421507238126,7.6818591684804005,False
mu_2x,-20,sensitivity_9c2de25a0e0344c62963,True,0.05861948322095422,0.43628343260987895,0.047568352181356854,0.3647772964190378,0.5691021643846044,28.2,14.6,0.2232567755324233,0.008150660963634038,0.09174322446757677,0.18084933903636602,6.996387430981656,False
mu_2x,-25,sensitivity_9ddb6b7eb1e409cef44c,True,0.06314000038488203,0.0998086626928585,0.054435364227006296,0.08243585675923533,0.53514283916035,29.8,16.200000000000003,0.2390070653904638,0.007136987718660448,0.07799293460953627,0.15186301228133958,7.780269431477251,False
mu_5x,-20,sensitivity_5754c36cde57908f4f16,True,0.058679058967056566,0.4336087906787693,0.04761509480171253,0.36303177170311524,0.5690317359141414,28.2,14.6,0.2233272040028863,0.007956488341695933,0.09167279599711375,0.18104351165830412,7.0061138940997125,False
mu_5x,-25,sensitivity_4b64385d9c3b2779d85d,True,0.06335338889979546,0.09330438397616234,0.05461704930503915,0.06857046252261535,0.5346473068198557,29.8,16.200000000000003,0.23950259773095806,0.007199235730437459,0.077497402269042,0.15180076426956257,7.863511215053904,False
ice_connectivity_1,-20,sensitivity_51fa55b7b1e004aa3901,True,0.05858298734602698,0.4383046872989258,0.04753888505702173,0.3660685837917031,0.5691546183593208,28.2,14.6,0.22320432155770686,0.008253081278598695,0.0917956784422932,0.18074691872140136,6.986137929344693,False
ice_connectivity_1,-25,sensitivity_f6dd40cd6a45ad98061d,True,0.06301160992937024,0.10777488851405173,0.054325075407350966,0.09219543034547481,0.5354011981152446,29.8,16.200000000000003,0.23874870643556922,0.007210617663135355,0.07825129356443083,0.15178938233686468,7.743477567480596,False
ice_connectivity_5,-20,sensitivity_227237563fc46bb729df,True,0.05858331874465293,0.4383018993684714,0.047539115961618895,0.3660679645736109,0.5691557630541946,28.2,14.6,0.22320317686283309,0.008249765166920331,0.09179682313716697,0.18075023483307973,6.986205675851522,False
ice_connectivity_5,-25,sensitivity_287b021818c6cea534cf,True,0.06301644141863219,0.10760337554305958,0.054328650718897864,0.0920107499832556,0.535392266054395,29.8,16.200000000000003,0.23875763849641873,0.007200784643859204,0.07824236150358133,0.15179921535614083,7.74421286174686,False
effective_k,-20,sensitivity_854e7584a948c9dcb88b,True,0.05918145531276275,0.6213069769923643,0.048068802715799296,0.5229005356701526,0.5672939894137851,28.4,14.799999999999999,0.2250649505032426,0.007738079795090003,0.08993504949675746,0.18126192020491005,6.727189618922068,False
effective_k,-25,sensitivity_61cae89775a836e76595,True,0.0644364334130085,0.305953850102101,0.05542799515226062,0.2699264572869306,0.5319249178339431,29.8,16.200000000000003,0.24222498671687065,0.006879562173407128,0.07477501328312941,0.1521204378265929,7.446725787344974,False
unit_temperature,-20,sensitivity_ffd5bfbbd668546d5c40,True,0.058582999264874196,0.7447273534828814,0.047538886348404884,0.6252539616651149,0.5691551043515228,28.2,14.6,0.22320383556550483,0.00825169142464266,0.09179616443449523,0.1807483085753574,6.535707148636277,False
unit_temperature,-25,sensitivity_51738f2e8da73524194e,True,0.06301394308424894,0.4492785323408106,0.054326823470162953,0.39038041462540024,0.5353968244296403,29.8,16.200000000000003,0.23875308012117347,0.007205647169138185,0.07824691987882659,0.15179435283086185,7.218669101319989,False
unified_concentration,-20,sensitivity_050272215dbb182a6546,True,0.05857046510424655,0.43864706348972926,0.04752429178656369,0.36632907825772243,0.5692179875916753,28.2,14.6,0.2231422268285599,0.008251645553197462,0.09185777317144017,0.1807483544468026,6.985434344799728,False
unified_concentration,-25,sensitivity_2b4c68240e7458c34442,True,0.06299199748173072,0.10796158802718234,0.0543082518143489,0.09235601172357437,0.5354639125973845,29.8,16.200000000000003,0.23868738709107862,0.007202932507689885,0.07831261290892144,0.15179706749231014,7.74312536288042,False
half_CL_path,-20,sensitivity_44696c52eff49cabb3a7,True,0.058582460291522975,0.4383617753709938,0.04753830017212261,0.36612397551749537,0.5691567195375806,28.2,14.6,0.22320226502764995,0.008253012699893425,0.09179773497235011,0.18074698730010663,6.986063932951595,False
half_CL_path,-25,sensitivity_9ecf2212c663e0e0fdba,True,0.06301335863908421,0.10775588624031347,0.05432629753650919,0.09215544763295576,0.5353988108558944,29.8,16.200000000000003,0.2387511425698129,0.007206673620882897,0.07824885743018717,0.15179332637911713,7.743697268808177,False
h_20,-20,sensitivity_a7abda348c028eecb087,True,0.05802521124713277,0.2846789762717369,0.0470694958910544,0.25612343245717617,0.5701101560468541,28.2,14.6,0.22224878387017355,0.009625832329416495,0.09275121612982651,0.17937416767058356,7.442986909456351,False
h_20,-25,sensitivity_e0eddf0d3f7d757aa9c5,True,0.06206197073143777,0.14753823703350327,0.0536196313481548,0.1107206896096405,0.5371250214784427,29.4,15.799999999999999,0.23702488307237113,0.00880957886990863,0.07997511692762893,0.1501904211300914,8.249777340601838,False
h_60,-20,sensitivity_cc80e42010a363811542,True,0.05911018494529187,0.5901709858681673,0.04797943428614037,0.4679053013325044,0.5682369817223454,28.4,14.799999999999999,0.22412195819468228,0.007014088512423022,0.09087804180531778,0.18198591148757703,6.571767156162309,False
h_60,-25,sensitivity_4fa203a27838a2c89c39,True,0.06391038670090445,0.26512994969174375,0.05498857123401415,0.20690829596997132,0.5337467873312649,29.8,16.200000000000003,0.24040311721954888,0.005767648750602983,0.07659688278045118,0.15323235124939705,7.286892281457739,False
