temp,j0,tau_b,tau_f,complete,run,wall_s
-20,0.3,1.0,1.0,True,fit_9e0726785b684bb71aea,6.672768000047654
-20,0.3,1.0,1.0,True,fit_9e0726785b684bb71aea,6.672768000047654
-20,0.309136360186055,1.0,1.0,True,fit_1fb13ced674f4e44ec8c,6.448769899958279
-20,0.3,1.030454533953517,1.0,True,fit_99d54790af37d97f90f1,6.627815400017425
-20,0.3,1.0,1.030454533953517,True,fit_0cb6897be0c49070ad3c,6.974049800017383
-20,0.14236440178119072,1.6260970313139262,1.6939744041324227,True,fit_1fb9fd8e0624c0aecf1f,6.441314399999101
-20,0.14236440178119072,1.6260970313139262,1.6939744041324227,True,fit_1fb9fd8e0624c0aecf1f,6.441314399999101
-20,0.14670004328900813,1.6260970313139262,1.6939744041324227,True,fit_3d67cf96154ddcbcb2b2,6.524077499983832
-20,0.14236440178119072,1.675619058565789,1.6939744041324227,True,fit_9295224182b1e5f86e5f,6.312680199975148
-20,0.14236440178119072,1.6260970313139262,1.745563605139462,True,fit_6406f41cb47c4c539f45,7.024245199980214
-20,0.12547171497086462,3.163473883143857,8.248940531584424,True,fit_d1150216c62c3272e405,6.027553599968087
-20,0.12547171497086462,3.163473883143857,8.248940531584424,True,fit_d1150216c62c3272e405,6.027553599968087
-20,0.1292928975746508,3.163473883143857,8.248940531584424,True,fit_33fd7a4fa8246da9e970,6.208023699990008
-20,0.12547171497086462,3.259816005929125,8.248940531584424,True,fit_84b3e26b97bec7d6899c,7.366773100045975
-20,0.12547171497086462,3.163473883143857,8.5001581710841,True,fit_f1bf8216ea5a5c82fc0a,6.012103999964893
-20,0.1126913531957485,0.560938349307633,7.848315548342093,True,fit_9b56edb301ea59c0a62c,6.456387799989898
-20,0.12309996605330024,2.0517171621393566,8.271065618067606,True,fit_ab2a681248629c2a0d2a,5.9579327999963425
-20,0.12309996605330024,2.0517171621393566,8.271065618067606,True,fit_ab2a681248629c2a0d2a,5.9579327999963425
-20,0.12684891814914723,2.0517171621393566,8.271065618067606,True,fit_ac8094c7c8d6467497b1,6.737237000023015
-20,0.12309996605330024,2.114201252116743,8.271065618067606,True,fit_2c3b13f72df755ceccf7,6.38600719999522
-20,0.12309996605330024,2.0517171621393566,8.522957066764809,True,fit_e327e6cbd6a44f91a25f,6.571835800015833
-20,0.12350457015606785,1.7118854435162236,11.17973712026811,True,fit_a7f925cb9e08931639e6,6.568841700034682
-20,0.12414485518877108,1.9189107951105848,8.812411632709493,True,fit_9c03904c4e3cf6531852,6.127548200020101
-20,0.12418067287450847,2.0158983431179913,8.390080711356388,True,fit_828fd13ec4e3b82b29a9,6.756609199976083
-20,0.12418067287450847,2.0158983431179913,8.390080711356388,True,fit_828fd13ec4e3b82b29a9,6.756609199976083
-20,0.12796253739293573,2.0158983431179913,8.390080711356388,True,fit_fa42da2959f64d2d1c8a,6.393538500007708
-20,0.12418067287450847,2.0772915876553166,8.390080711356388,True,fit_d516f705930d5a726b61,5.825475400022697
-20,0.12418067287450847,2.0158983431179913,8.645596709253136,True,fit_d12995069215f246e081,6.528177500003949
