时间/s,实验电压/V,模型电压/V,电压相对误差/%,实验温度/℃,模型温度/℃,温度相对误差/%,模型最大冰体积分数
0,0.799,0.7895,1.19,-20,-20.00,0.00,0.000000
5,0.801,0.7672,4.22,-19.96,-20.12,0.82,0.000000
10,0.538,0.5718,6.29,-19.65,-19.77,0.59,0.000000
15,0.521,0.5198,0.23,-18.41,-18.50,0.49,0.000000
20,0.599,0.5798,3.20,-17.08,-17.37,1.72,0.000000
25,0.626,0.5942,5.08,-15.90,-16.36,2.90,0.000000
30,0.633,0.5876,7.18,-14.27,-14.79,3.65,0.000000
35,0.666,0.6236,6.36,-12.67,-13.45,6.19,0.000121
